Indian_Tweets
"""I want to tell them that the people of Maharashtra care for #Kashmir. They have the right to speak about issues related to Kashmir,"" the Union Minister said. 

https://t.co/8J252ecsPB"
"""No Time"" Due To #AyodhyaHearing, #SupremeCourt Refers #Kashmir Matters
https://t.co/HXEGCvx6fT"
"""Opposition should be allowed in #Kashmir"" European Union's Nicolaus Fest

Also asks the government to address the 'disbalance' https://t.co/blev79CNwX"
"#Art370Scrapped | BJP spokesperson @GVLNRAO explains why govt is taking time to restore internet service in #Kashmir. Listen in.
#IndiaFirst with @GauravCSawant LIVE at https://t.co/4fqxBVUizL https://t.co/RBuqupgfF5"
"#Art370Scrapped | Is #Kashmir really normal ? 
Watch panellists debate this issue on #NewsToday with @sardesairajdeep : https://t.co/zE6Pg1H8zL
More videos : https://t.co/NounxnP7mg https://t.co/9aHTMsxrm8"
"#Art370Scrapped | Is #Kashmir really normal? 
#NewsToday LIVE at https://t.co/4fqxBVUizL https://t.co/7QSJfKbfoi"
"#Article370Scrapped 
This is what #Kashmir looks like after 60 days of lockdown !
(@ashraf_wani, @ShujaUH) 
Watch #InDepth live with @preetiChoudhry : https://t.co/4fqxBVUizL https://t.co/otOXjlpYVh"
"#Article370Scrapped | #Kashmir: Schools open, attendance negligible ! 
Watch this ground report by @ShujaUH.
#InDepth live : https://t.co/4fqxBVUizL https://t.co/ZjnpVSyCjA"
"#Article370Scrapped | #Kashmir's apple trade hit by clampdown. Take a look at this ground report.
(@ashraf_wani)
Watch #InDepth live : https://t.co/4fqxBVUizL https://t.co/lUda41WdDX"
"#Diwali : PM #Modi Extends Greetings To Nation; Likely to Celebrate With Soldiers In #Kashmir 
https://t.co/zRA7ILtorO"
"#EU Delegation #Kashmir Visit: MPs Reach Srinagar To Review Situation; Opposition Cries Foul

Details: https://t.co/34h6kB26CJ https://t.co/q6ZZxMCrVS"
"#EU MPs In #Kashmir Say #Article370 Internal Issue, Stand By India In Fight Against #Terror
https://t.co/jfqliWbz2S"
"#EuropeanUnion Delegation To Visit #Kashmir Tomorrow; 'Want To See On Ground How It Actually Is,' Says BN Dunn
https://t.co/LP7rVoMXyw"
"#Exclusive | #Finland's Foreign Minister @Haavisto speaks to @WIONews 

In an interview with WION after his talks with #Indian leaders in #NewDelhi, #Finland's Foreign Minister @Haavisto sat down with @RRRameshRRR to discuss #EU's stand on the issue #Kashmir https://t.co/vK09PMFNuw"
"#Exclusive | Turkish Ambassador to #India, Sakir Ozkan Torunlar speaks to @palkisu on the Syrian offensive, &amp; #Turkey's stand on #Kashmir.
Are India and Turkey on the same page on the issue of terrorism? Catch the full conversation on #Gravitas | 9 PM IST
@TurkeyinDelhi https://t.co/hfokaOr5p6"
"#Exclusive | Union Home Minister of #India, Shri @AmitShah's interview with @WIONews editor-in-chief @sudhirchaudhary. 
He breaks his silence on #Article370 and #Kashmir https://t.co/1vAGsRX4F4"
"#Gravitas | #Pakistan's science &amp; technology minister wants to provide internet to #Kashmir. But Fawad Chaudhry can't even get the spelling of Pakistan's space agency right! 
@palkisu summarises https://t.co/GpOFAAARnX"
"#Gravitas | @IlhanMN attempts to create alarms against #India in the #Kashmir issue and #NRC debate. One, it is an attempt to cast aspersions on India's democratic institutions &amp; two, it betrays Omar's ignorance on the issue. @Palkisu explains. https://t.co/pJpweyCYqD"
"#Gravitas | 3 months ago, #India witnessed a historic event with the scrapping of special status of Jammu &amp; #Kashmir. Today is another. Jammu &amp; Kashmir and #Ladakh have official become Union Territories. This report charts the significance https://t.co/LCnnAcKdBz"
"#Gravitas | Another anti-#India protest is all set to take place in London on #Diwali. Again, British authorities have given their nod this protest on #Kashmir. @palkisu discusses the development with #LabourParty's lawmaker @NavinShah2016 https://t.co/ekuJjvucoU"
"#Gravitas | In the last 24 hours, #India countered Pak's attempts to draw false alarms over Kashmir twice. At @UNESCO meeting, Indian diplomat @Ananya_Ind led the rebuttal, while journalist @sunandavashisht explained the #Kashmir situation to U.S. lawmakers. 
@Palkisu explains https://t.co/BUolwDCuj2"
#Gravitas | Modi government has responded to #Turkey's President Erdogan's Kashmir provocation by cementing ties with Turkey's rivals in the region. @palkisu explains India's game-plan to counter Turkey's interference in #Kashmir issue and staunch support extended to #Pakistan https://t.co/bzEqyww0R3
"#Gravitas with @palkisu | 9 PM IST 
After #Kashmir, #Turkey helps out Pakistan on the defence front.
Turkey to build warships for #Pakistan. Why is #Erdogan leaning towards @ImranKhanPTI? https://t.co/XR853VD7pJ"
"#Gravitas with @palkisu | 9 PM IST
#Turkey doesn't mince words on #Kashmir.
At the same time, it targets ethnic minorities in #Syria.
Should #India take a stand? https://t.co/zKP4xObjxg"
"#India hit out at #Pakistan`sjuvenile propaganda' over the Supreme Court`s historic verdict on #Ayodhya and #Kashmir's, saying the 'fabricated lies are interference in India's internal affairs'. 
@Ananya_Ind lead the Indian delegation at #unescoGC https://t.co/BQgs0vMWzN"
"#India Voice Its Pique After #China’s Xi Backs #Pakistan On #Kashmir Ahead Of Meeting With #Modi
https://t.co/AZSP3Kl5l3"
"#India-#China 2nd Informal Summit: #Kashmir issue not raised or discussed during talks, says Foreign Secretary Vijay Gokhale
https://t.co/Ul5JSFGs1E"
"#IndiaTodayImpact
Watch: India Today's @gauravcsawant elaborates on how hawala money is fomenting trouble in #Kashmir
#OperationKashmiriAlmonds
Watch LIVE with @Ankit_Tyagi01: https://t.co/4fqxBVUizL https://t.co/CWgzXMOp1t"
"#Internet Services Remain Suspended In #Kashmir For 101st Day
https://t.co/GUhRjQVvbL"
#InTheNews | 2 soldiers &amp; a civilian killed in ceasefire violation by Pakistan in Tangdhar sector along the LoC in #Kashmir
#InTheNews: Shiv Sena's 'Saamana' editorial questions the purpose of visit of EU delegation visiting #Kashmir; also praised PM Modi and Home Minister Amit Shah for abrogation of #Article370
"#JammuAndKashmir : #Kashmir valley received its first #snowfall on Wednesday.  SEE PICS !
(Pic courtesy: AP) 
#ITPhotoblog https://t.co/s24vC1Xvj2"
"#JammuAndKashmir | 2 non-locals shot dead by terrorists in Shopian in #Kashmir  

@MirFareed2 with details https://t.co/y4kW922EaQ"
"#JammuAndKashmir | A day after postpaid mobile services resumed in the valley, SMS services across all networks in #Kashmir have been banned

@MirFareed2 https://t.co/xJRM6MVVC4"
"#Kashmir = Human rights violation, NRC = #Rohingyas, 9/11 = 'some people did something', Anti Semitic comments = yes. 
'Progressive' #US Representative @IlhanMN now votes against the resolution recognising #ArmenianGenocide. @Palkisu exposes the hypocrisy https://t.co/sq5uVW689H"
"#Kashmir Can Be Among Top States By 2029,” Says #AmitShah As He Flags Off #VandeBharatExpress 

https://t.co/HP2T8bZhIn"
"#Kashmir clampdown enters the third month. India Today's @ShujaUH brings you the ground report.
 #ITVideo 
More videos: https://t.co/NounxnP7mg https://t.co/eDTb44DQzw"
"#Kashmir clampdown: Post-paid mobile services to resume today; internet connectivity to remain shut #ITVideo
https://t.co/NounxnP7mg https://t.co/DW3mbTuskg"
"#Kashmir clampdown: Why are kids skipping school? Hear out what activist Dr Siddiq Wahid &amp; BJP's @NalinSKohli have to say on this. #NewsToday
LIVE at https://t.co/4fqxBVUizL https://t.co/Fcpx7m3DRn"
"#Kashmir heading towards normalcy? India Today TV's @ShujaUH gets us this ground report.
#ITVideo
More videos: https://t.co/NounxnP7mg https://t.co/m1aW9JZa4C"
#Kashmir https://t.co/ZGHftGZoWh
"#Kashmir issue not raised in the meeting between Pakistan and Iran
Watch more videos at https://t.co/NounxnP7mg
#ITVideo https://t.co/HfWyRxPeOs"
"#Kashmir issue shadows Chinese President #XiJinping's visit to India, India Today's @Geeta_Mohan elaborates on the issue.
#TheBurningQuestion @Ankit_Tyagi01
Watch more videos at https://t.co/NounxnP7mg https://t.co/kJkIIhiwHh"
#Kashmir lockdown completes 60 days. Watch this &amp; more on #7at7 with @PreetiChoudhry #ITLivestream https://t.co/tUXygnI6qU
"#Kashmir lockdown completes 60 days: Take a look at the ground report from the Valley 
Watch #InDepth with @PreetiChoudhry : https://t.co/4XPVxv52ht https://t.co/gsRe6bWLqj"
"#Kashmir lockdown enters day 66; Colleges and varsities re-open in Valley
#ITVideo
More videos: https://t.co/NounxnP7mg https://t.co/Slg26hm2yL"
"#Kashmir Lockdown: Pre-Paid #Mobile Services Barred For 85th Day
https://t.co/OYLkhJbX2Q"
"#Kashmir reality check: Is the Opposition looking at glass empty? Hear out political analyst @tehseenp's response to @GauravCSawant.
#IndiaFirst LIVE at https://t.co/4fqxBVUizL https://t.co/bwQS4k8Iq9"
"#Kashmir Valley Reopens For Tourists After Two Months; Govt Assures All Help #Article370

Details: https://t.co/urASyAsiul https://t.co/DbJePvw77Q"
"#Kashmir: 28-Member Delegation Of #EuropeanUnion Parliamentarians Set To Visit Valley Tomorrow
https://t.co/b7oJSPBAfN"
